2,17990,第26回参議院選挙,50745,北海道,1
2,17990,第26回参議院選挙,50746,青森,2
2,17990,第26回参議院選挙,50747,岩手,3
2,17990,第26回参議院選挙,50748,宮城,4
2,17990,第26回参議院選挙,50749,秋田,5
2,17990,第26回参議院選挙,50750,山形,6
2,17990,第26回参議院選挙,50751,福島,7
2,17990,第26回参議院選挙,50752,茨城,8
2,17990,第26回参議院選挙,50753,栃木,9
2,17990,第26回参議院選挙,50754,群馬,10
2,17990,第26回参議院選挙,50755,埼玉,11
2,17990,第26回参議院選挙,50756,千葉,12
2,17990,第26回参議院選挙,50757,東京,13
2,17990,第26回参議院選挙,50758,神奈川,14
2,17990,第26回参議院選挙,50759,新潟,15
2,17990,第26回参議院選挙,50760,長野,16
2,17990,第26回参議院選挙,50761,山梨,17
2,17990,第26回参議院選挙,50762,富山,18
2,17990,第26回参議院選挙,50763,石川,19
2,17990,第26回参議院選挙,50764,福井,20
2,17990,第26回参議院選挙,50765,岐阜,21
2,17990,第26回参議院選挙,50766,静岡,22
2,17990,第26回参議院選挙,50767,愛知,23
2,17990,第26回参議院選挙,50768,三重,24
2,17990,第26回参議院選挙,50769,滋賀,25
2,17990,第26回参議院選挙,50770,京都,26
2,17990,第26回参議院選挙,50771,大阪,27
2,17990,第26回参議院選挙,50772,兵庫,28
2,17990,第26回参議院選挙,50773,奈良,29
2,17990,第26回参議院選挙,50774,和歌山,30
2,17990,第26回参議院選挙,50775,鳥取 島根,31
2,17990,第26回参議院選挙,50776,岡山,33
2,17990,第26回参議院選挙,50777,広島,34
2,17990,第26回参議院選挙,50778,山口,35
2,17990,第26回参議院選挙,50779,徳島 高知,36
2,17990,第26回参議院選挙,50780,香川,37
2,17990,第26回参議院選挙,50781,愛媛,38
2,17990,第26回参議院選挙,50782,福岡,40
2,17990,第26回参議院選挙,50783,佐賀,41
2,17990,第26回参議院選挙,50784,長崎,42
2,17990,第26回参議院選挙,50785,熊本,43
2,17990,第26回参議院選挙,50786,大分,44
2,17990,第26回参議院選挙,50787,宮崎,45
2,17990,第26回参議院選挙,50788,鹿児島,46
2,17990,第26回参議院選挙,50789,沖縄,47
